--------------------------------------------------------------------------------
Akash Kank Process Logger : Mon Nov 20 00:26:55 2023
--------------------------------------------------------------------------------
{'name': 'svchost.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 12636, 'vms': 8.53125}
{'name': 'svchost.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 12740, 'vms': 3.6328125}
{'name': 'Code.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 12888, 'vms': 89.64453125}
{'name': 'msedge.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 13136, 'vms': 20.58203125}
{'name': 'atieclxx.exe', 'username': None, 'pid': 13216, 'vms': 3.92578125}
{'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 13292, 'vms': 2.50390625}
{'name': 'svchost.exe', 'username': None, 'pid': 13568, 'vms': 3.671875}
{'name': 'msedgewebview2.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 13652, 'vms': 2.03515625}
{'name': 'svchost.exe', 'username': None, 'pid': 13856, 'vms': 7.5}
{'name': 'msedge.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 13952, 'vms': 6.6015625}
{'name': 'ShellExperienceHost.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 13996, 'vms': 20.38671875}
{'name': 'SECOCL64.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 14132, 'vms': 2.1953125}
{'name': 'chrome.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 14200, 'vms': 110.8515625}
{'name': 'WidgetService.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 14240, 'vms': 4.66015625}
{'name': 'ModuleCoreService.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 14256, 'vms': 15.1875}
{'name': 'msedge.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 14272, 'vms': 7.359375}
{'name': 'HP.myHP.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 14368, 'vms': 29.3359375}
{'name': 'svchost.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 14372, 'vms': 1.62890625}
{'name': 'msedgewebview2.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 14444, 'vms': 33.046875}
{'name': 'DesktopExtension.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 14484, 'vms': 40.37109375}
{'name': 'SecurityHealthService.exe', 'username': None, 'pid': 14488, 'vms': 7.41015625}
{'name': 'svchost.exe', 'username': None, 'pid': 14528, 'vms': 1.171875}
{'name': 'winlogon.exe', 'username': None, 'pid': 14632, 'vms': 2.421875}
{'name': 'Code.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 14744, 'vms': 10.74609375}
{'name': 'Code.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 14840, 'vms': 281.87890625}
{'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 14876, 'vms': 13.19921875}
{'name': 'msedge.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 14932, 'vms': 78.43359375}
{'name': 'uihost.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 15008, 'vms': 11.59765625}
{'name': 'msedgewebview2.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 15116, 'vms': 9.203125}
{'name': 'chrome.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 15168, 'vms': 110.98828125}
{'name': 'Code.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 15312, 'vms': 14.10546875}
{'name': 'Code.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 15380, 'vms': 61.34765625}
{'name': 'DataExchangeHost.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 15396, 'vms': 12.31640625}
{'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 15412, 'vms': 1.9765625}
{'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 15468, 'vms': 2.45703125}
{'name': 'msedge.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 15488, 'vms': 2.0625}
{'name': 'dllhost.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 15532, 'vms': 1.94140625}
{'name': 'AMDRSSrcExt.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 15748, 'vms': 44.015625}
{'name': 'chrome.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 15808, 'vms': 22.1640625}
{'name': 'xampp-control.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 15824, 'vms': 6.37890625}
{'name': 'chrome.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 15860, 'vms': 27.56640625}
{'name': 'msedgewebview2.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 15988, 'vms': 158.16796875}
{'name': 'msedgewebview2.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 16076, 'vms': 6.84375}
{'name': 'conhost.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 16248, 'vms': 5.203125}
{'name': 'bash.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 16500, 'vms': 6.95703125}
{'name': 'figma_agent.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 16548, 'vms': 6.41015625}
{'name': 'MiPhoneHelper.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 16640, 'vms': 1.80078125}
{'name': 'msedge.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 16696, 'vms': 19.1015625}
{'name': 'RadeonSoftware.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 16812, 'vms': 175.296875}
{'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 16816, 'vms': 2.125}
{'name': 'chrome.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 17076, 'vms': 25.69140625}
{'name': 'msedge.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 17128, 'vms': 6.6328125}
{'name': 'BridgeCommunication.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 17168, 'vms': 5.7265625}
{'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 17520, 'vms': 3.08984375}
{'name': 'BridgeCommunication.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 17732, 'vms': 5.81640625}
{'name': 'McUICnt.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 17880, 'vms': 14.72265625}
{'name': 'mcafee-security.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 18092, 'vms': 31.60546875}
{'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 18240, 'vms': 7.25390625}
{'name': 'svchost.exe', 'username': None, 'pid': 18364, 'vms': 1.42578125}
{'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 18464, 'vms': 2.66015625}
{'name': 'chrome.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 19064, 'vms': 125.53515625}
{'name': 'ApplicationFrameHost.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 19268, 'vms': 10.83203125}
{'name': 'SearchIndexer.exe', 'username': None, 'pid': 19420, 'vms': 17.65234375}
{'name': 'msedge.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 19788, 'vms': 39.15625}
{'name': 'taskhostw.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 20204, 'vms': 6.43359375}
{'name': 'svchost.exe', 'username': None, 'pid': 20700, 'vms': 4.53515625}
{'name': 'LockApp.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 20956, 'vms': 14.8203125}
{'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 21104, 'vms': 3.328125}
{'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 21696, 'vms': 1.90625}
{'name': 'msedge.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 21892, 'vms': 68.1484375}
{'name': 'msedge.exe', 'username': 'LAPTOP-FE5Q8M4N\\HP', 'pid': 22020, 'vms': 14.75}
